company_id,type,rule_id,text,confidence_pct
ABB,con,CON_99,Business performance may face future market and industry risks.,65.0
ABB,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95.0
ABB,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92.0
ABB,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,94.0
ABB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90.0
ABB,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91.0
ABB,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,86.0
ABB,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
ADANIENSOL,con,CON_01,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring.,92.0
ADANIENSOL,con,CON_09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability.,90.0
ADANIENSOL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90.0
ADANIENSOL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
ADANIENT,con,CON_99,Business performance may face future market and industry risks.,65.0
ADANIENT,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90.0
ADANIENT,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,94.0
ADANIENT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91.0
ADANIENT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality.,86.0
ADANIENT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84.0
ADANIGREEN,con,CON_01,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring.,92.0
ADANIGREEN,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital.,92.0
ADANIGREEN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90.0
ADANIGREEN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90.0
